"Id-offerta","CIG","oggetto-offerta","data-contratto-offerta","importo-offerta","offerente","data-ricezione-offerta"
"21148","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"118129.7","Lucci Salvatore Impresa di Costruzioni","2012-09-05"
"21154","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"144268.29","Costruzioni Generali G.S.V.M.D.","2012-09-05"
"21163","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"124293.34","Medusa Restauri","2012-09-05"
"21168","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"142603.4","D'Erchia restauri","2012-09-05"
"21332","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"125237.46","Ada Restauri","2012-09-05"
"21333","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"120184.03","Iota Restauro","2012-09-05"
"21334","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"133126.34","Valentino Giuseppe - Società di costruzioni e restauro monumenti","2012-09-05"
"21426","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"375990.15","G&G Costruzioni","2012-09-06"
"21427","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"404813.09","COOPERATIVA ARCHEOLOGIA","2012-09-06"
"21428","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"393290.84","Vitiello s.r.l.","2012-09-06"
"21429","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"377873.04","Ar.fe.ga.","2012-09-06"
"21435","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"477082.75","CFC Group","2012-09-07"
"21436","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"123506.82","Perillo Costruzioni Generali","2012-09-06"
"21437","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"115991.48","TECNORES","2012-09-06"
"21438","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"162827.28","Lande","2012-09-06"
"21440","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"132422.99","Lattanzi","2012-09-06"
"21441","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"120195.91","MATERAZZO ING. LUCIO SRL","2012-09-06"
"21442","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"121833.09","Ar.fe.ga.","2012-09-06"
"21443","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"139354.87","COOPERATIVA ARCHEOLOGIA","2012-09-06"
"21444","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"132529.4","Vitiello s.r.l.","2012-09-06"
"21445","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"120013.49","IMPRESA INGG MARIO E PAOLO COSENZA SRL","2012-09-06"
"21446","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"99795.72","G&G Costruzioni","2012-09-06"
"21647","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"402029","DRD COSTRUZIONI S.R.L.","2012-09-04"
"21937","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"162957.3","CFC Group","2012-09-07"
"21938","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"116234.36","CO.GE.P.AR. COSTRUZIONI GENERALI SAS","2012-09-07"
"21939","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"129580.7","Gherardi ing. Giancarlo","2012-09-07"
"21942","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"113546.4","SAMOA RESTAURI SRL","2012-09-07"
"21945","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"148543.41","Edilerica","2012-09-07"
"21946","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"129825.08","ARCHEO&RESTAURI SRL","2012-09-07"
"21947","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"123378.33","C.A.T.","2012-09-07"
"21962","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"114835.83","MINERVA di Vassallo Ludovico C.","2012-09-07"
"21963","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"132965.21","NEI RESTAURO E COSTRUZIONI SRL","2012-09-07"
"21964","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"143296.53","Edil COOP","2012-09-07"
"21975","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"119648.02","Fa.Ga.","2012-09-07"
"21976","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"106198.56","TEKNO DOMUS RESTAURI S.R.L.","2012-09-07"
"21977","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"145250.63","Galadini & C.","2012-09-07"
"21978","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"108556.29","IMPROMED CONSORZIO STABILE S.p.A.","2012-09-07"
"22426","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1342452.94","A.D. Restauri & Costruzioni","2012-12-11"
"22526","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,"1436993.61","A.P.S. Costruzioni S.r.l.","2012-12-11"
"22527","46223167d3","Lavori di messa in sicurezza previo assetto idrogeologico dei terreni demaniali a confine area di scavo (III – IX)",,,"APPALTI IN RESTAURI S.R.L.","2012-12-11"
